time,seconds_elapsed,z,y,x
1704913142164757800,0.0137578125,-0.0891876220703125,0.9893341064453125,-0.0867919921875
1704913142174697000,0.023697021484375,-0.1053619384765625,0.9927520751953125,-0.0761260986328125
1704913142184636000,0.033635986328125,-0.1209869384765625,0.9979400634765625,-0.068267822265625
1704913142194576000,0.043575927734375,-0.13763427734375,1.0003814697265625,-0.0628204345703125
1704913142204514800,0.053514892578125,-0.1483001708984375,0.9962158203125,-0.0622100830078125
1704913142214454000,0.0634541015625,-0.1566925048828125,0.9857635498046875,-0.06298828125
1704913142224393000,0.07339306640625,-0.163360595703125,0.9727020263671875,-0.0675811767578125
1704913142234332700,0.083332763671875,-0.1712493896484375,0.9607086181640625,-0.07269287109375
1704913142244271900,0.09327197265625,-0.17376708984375,0.9550628662109375,-0.075592041015625
1704913142254211000,0.103211181640625,-0.1688690185546875,0.9546051025390625,-0.0793914794921875
1704913142264150000,0.11314990234375,-0.1614532470703125,0.96087646484375,-0.0847930908203125
1704913142274089700,0.12308984375,-0.15057373046875,0.9667510986328125,-0.089935302734375
1704913142284028700,0.133028564453125,-0.1387176513671875,0.9731903076171875,-0.0946502685546875
1704913142293967600,0.142967529296875,-0.12921142578125,0.9775848388671875,-0.1007232666015625
1704913142303906800,0.15290673828125,-0.120361328125,0.98370361328125,-0.102386474609375
1704913142313846800,0.1628466796875,-0.11212158203125,0.9927978515625,-0.1015472412109375
1704913142323785700,0.17278564453125,-0.10540771484375,0.998748779296875,-0.09844970703125
1704913142333724700,0.182724609375,-0.0992431640625,1.0062255859375,-0.09490966796875
1704913142343663900,0.192663818359375,-0.09613037109375,1.0096588134765625,-0.089599609375
1704913142353603800,0.202603759765625,-0.099090576171875,1.0035247802734375,-0.083251953125
1704913142363542800,0.212542724609375,-0.11090087890625,0.995819091796875,-0.0755157470703125
1704913142373481700,0.222481689453125,-0.1277008056640625,0.98480224609375,-0.0673675537109375
1704913142383421000,0.2324208984375,-0.1404571533203125,0.978485107421875,-0.059417724609375
1704913142393361000,0.24236083984375,-0.1515045166015625,0.9737396240234375,-0.05487060546875
1704913142403299800,0.2522998046875,-0.1609649658203125,0.969268798828125,-0.0522918701171875
1704913142413238800,0.26223876953125,-0.1657257080078125,0.97027587890625,-0.0528717041015625
1704913142423178000,0.272177978515625,-0.1703643798828125,0.971221923828125,-0.0546417236328125
1704913142433118000,0.282117919921875,-0.1719818115234375,0.975738525390625,-0.0576019287109375
1704913142443057000,0.292056884765625,-0.1720733642578125,0.979095458984375,-0.0583953857421875
1704913142452995800,0.301995849609375,-0.169525146484375,0.9796905517578125,-0.0573272705078125
1704913142462934800,0.311934814453125,-0.166107177734375,0.9836273193359375,-0.0565032958984375
1704913142472874800,0.321874755859375,-0.167022705078125,0.9885406494140625,-0.05328369140625
1704913142482814000,0.33181396484375,-0.16656494140625,0.9892425537109375,-0.0529937744140625
1704913142492753000,0.3417529296875,-0.1625823974609375,0.9908599853515625,-0.0530242919921875
1704913142502691800,0.35169189453125,-0.1557769775390625,0.9926910400390625,-0.055694580078125
1704913142512631800,0.3616318359375,-0.1483001708984375,0.993255615234375,-0.0547027587890625
1704913142522570800,0.37157080078125,-0.14239501953125,0.9910888671875,-0.0536651611328125
1704913142532509700,0.381509765625,-0.1387786865234375,0.9914703369140625,-0.05059814453125
1704913142542450000,0.391449951171875,-0.1369781494140625,0.9933624267578125,-0.046600341796875
1704913142552388900,0.401388916015625,-0.1374969482421875,0.9925537109375,-0.0394287109375
1704913142562327800,0.411327880859375,-0.14288330078125,0.9884185791015625,-0.0296173095703125
1704913142572266800,0.421266845703125,-0.1550140380859375,0.9886627197265625,-0.0186004638671875
1704913142582206700,0.431206787109375,-0.16705322265625,0.9882965087890625,-0.008514404296875
1704913142592146000,0.44114599609375,-0.1744384765625,0.9844512939453125,-0.0008544921875
1704913142602084900,0.4510849609375,-0.1816253662109375,0.9831085205078125,0.004425048828125
1704913142612023800,0.46102392578125,-0.18682861328125,0.982635498046875,0.00714111328125
1704913142621963800,0.4709638671875,-0.1820831298828125,0.9818115234375,0.0041046142578125
1704913142631903000,0.480903076171875,-0.1746063232421875,0.976348876953125,-0.0025634765625
1704913142641842000,0.490842041015625,-0.1722564697265625,0.96820068359375,-0.0105133056640625
1704913142651780900,0.50078076171875,-0.1724853515625,0.966583251953125,-0.0205841064453125
1704913142661720800,0.510720947265625,-0.1677703857421875,0.9691619873046875,-0.0263824462890625
1704913142671660000,0.520659912109375,-0.1574554443359375,0.97393798828125,-0.031158447265625
1704913142681599000,0.530598876953125,-0.151611328125,0.973114013671875,-0.0345458984375
1704913142691538000,0.540537841796875,-0.1506805419921875,0.976837158203125,-0.0330657958984375
1704913142701478000,0.550477783203125,-0.15399169921875,0.983612060546875,-0.0323333740234375
1704913142711416800,0.560416748046875,-0.1554718017578125,0.9878692626953125,-0.0314788818359375
1704913142721356000,0.57035595703125,-0.15045166015625,0.98828125,-0.0323944091796875
1704913142731295000,0.580294921875,-0.1465301513671875,0.9918060302734375,-0.037994384765625
1704913142741234700,0.590234619140625,-0.14349365234375,0.9932708740234375,-0.0448760986328125
1704913142751173600,0.600173583984375,-0.1425323486328125,0.996307373046875,-0.05218505859375
1704913142761112800,0.61011279296875,-0.1443328857421875,0.997406005859375,-0.0609588623046875
1704913142771051800,0.6200517578125,-0.147552490234375,0.9918670654296875,-0.0624847412109375
1704913142780991700,0.62999169921875,-0.158447265625,0.9835205078125,-0.0653076171875
1704913142790930700,0.6399306640625,-0.16796875,0.980865478515625,-0.0661468505859375
