time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1705061542292556000,0.22755615234375,-0.19218109548091888,-0.001740878215059638,0.001475758384913206,-0.019993480294942856,-0.5354735255241394,-0.8443152904510498,-0.003413500264286995,-0.014880478382110596,-0.026900529861450195,0.9602903264384859,0.27880813834726015,-0.010410122544638023,4.336808689942018e-19
1705061542302505000,0.2375048828125,-0.15802845358848572,-0.006246680393815041,-0.01370452530682087,-0.020000897347927094,-0.5339927673339844,-0.8452523946762085,-0.005542313680052757,-0.01837533712387085,-0.02368980646133423,0.9605342513088815,0.2779661874542225,-0.010421067082882238,-0.00003361398157996362
1705061542312423000,0.2474228515625,-0.11000046133995056,-0.0035062874667346478,-0.0315338596701622,-0.019923483952879906,-0.5328684449195862,-0.8459634780883789,-0.006657322868704796,-0.014693140983581543,-0.02215474843978882,0.9607192850224953,0.27732623513476923,-0.010412310011983953,-0.00014987846549392595
1705061542322371800,0.257371826171875,-0.06716404855251312,0.000517482403665781,-0.037219442427158356,-0.01975245401263237,-0.5321420431137085,-0.8464246392250061,-0.0054092854261398315,-0.005730271339416504,-0.02184617519378662,0.9608392924092518,0.27691167817274,-0.010372943571600205,-0.000326837314672953
1705061542332290000,0.2672900390625,-0.03149302676320076,0.004777445457875729,-0.0328579805791378,-0.01954689808189869,-0.5317528247833252,-0.8466740250587463,-0.0047908686101436615,-0.00448685884475708,-0.017980515956878662,0.9609041345989554,0.27668869061909923,-0.010313292971194498,-0.0004938277523947481
1705061542342239000,0.277239013671875,-0.015499450266361237,0.009367907419800758,-0.017112040892243385,-0.019353194162249565,-0.531571626663208,-0.8467922210693359,-0.006479933857917786,-0.005400419235229492,-0.014078140258789062,0.9609348018751489,0.2765844325524755,-0.010244568542848902,-0.0006065618793552096
1705061542352157000,0.287156982421875,-0.02840592712163925,0.0076128835789859295,0.003992712125182152,-0.0192422978579998,-0.5314008593559265,-0.8469019532203674,-0.004317272454500198,-0.010362505912780762,-0.010474145412445068,0.9609633345174893,0.2764870949593702,-0.010194203887415217,-0.0006333300067449129
1705061542362105900,0.29710595703125,-0.05649926885962486,0.004134469199925661,0.011486846953630447,-0.019225070253014565,-0.5310400724411011,-0.8471285700798035,-0.0010385997593402863,-0.021923184394836426,-0.007348299026489258,0.9610223494105885,0.2762828932245312,-0.010172076953587524,-0.0005901841703191682
1705061542372024000,0.307024169921875,-0.09397314488887787,0.002504348522052169,0.009390939027071,-0.019255757331848145,-0.530414342880249,-0.8475198149681091,0.0031119585037231445,-0.028621912002563477,-0.004729270935058594,0.9611241827164072,0.27592863125952605,-0.010172173563204974,-0.0005394270399624889
1705061542381973000,0.316972900390625,-0.1217166930437088,0.00136549212038517,0.014842962846159935,-0.01929335482418537,-0.529494047164917,-0.8480941653251648,0.00864272192120552,-0.029175996780395508,-0.0021102428436279297,0.9612734799644067,0.2754077104555725,-0.010173495341085371,-0.0004823168191859556
1705061542391891000,0.326890869140625,-0.13210222125053406,0.0008973084040917456,0.028584074229002,-0.019382551312446594,-0.5284191370010376,-0.8487623333930969,0.011005476117134094,-0.026054739952087402,0.0038069486618041992,0.9614473373662797,0.2747999328245893,-0.010189387963732813,-0.00038313141688603534
1705061542401839900,0.33683984375,-0.1471172720193863,-0.0031859981827437878,0.05278448760509491,-0.019611580297350883,-0.5272324085235596,-0.8494947552680969,0.015278086066246033,-0.02330470085144043,0.008506596088409424,0.961637823722357,0.2741303806163931,-0.010254579835688064,-0.00020209809716503508
1705061542411757800,0.3467578125,-0.15376505255699158,-0.0029838643968105316,0.06492024660110474,-0.019940964877605438,-0.5259503126144409,-0.8502815365791321,0.021253220736980438,-0.026753544807434082,0.00805741548538208,0.9618423907548356,0.27340844518626634,-0.010347304249817321,0.00006585811829621074
1705061542421707000,0.35670703125,-0.15208891034126282,-0.006331487093120813,0.07252942770719528,-0.02033136412501335,-0.5246445536613464,-0.8510785698890686,0.030508978292346,-0.026075661182403564,0.010304033756256104,0.9620494760350862,0.2726743847124831,-0.010458992525429155,0.00037999080379024766
1705061542431625000,0.366625,-0.14635272324085236,-0.010392541065812111,0.07865043729543686,-0.020809231325984,-0.5233659148216248,-0.8518539667129517,0.04159170389175415,-0.021998465061187744,0.01309359073638916,0.9622507624996702,0.27195684950841675,-0.010606676114108777,0.0007292829955774524
1705061542441543000,0.37654296875,-0.1314525306224823,-0.015371055342257023,0.08873289823532104,-0.021361712366342545,-0.5221778750419617,-0.852569043636322,0.04804933816194534,-0.01937180757522583,0.01832526922225952,0.9624361583349633,0.2712916461321292,-0.01078559464517129,0.0011073324828722738
1705061542451492000,0.3864921875,-0.11995486915111542,-0.018115708604454994,0.0967966839671135,-0.022004548460245132,-0.5210968852043152,-0.8532138466835022,0.04899735003709793,-0.01582944393157959,0.025958597660064697,0.9626029632350208,0.2706881800840434,-0.010999906787586146,0.0015284413361043147
1705061542461410000,0.39641015625,-0.12151920050382614,-0.01314477063715458,0.1073465347290039,-0.011958659626543522,-0.5539548993110657,-0.8324607610702515,0.03261905908584595,0.02189624309539795,0.00947803258895874,0.9571991666458796,0.2893645324375932,-0.006146360296124266,0.00033189567778107694
1705061542471359000,0.40635888671875,-0.13543608784675598,-0.005953703075647354,0.1284978836774826,-0.010672202333807945,-0.5498799085617065,-0.8351755738258362,0.021689049899578094,0.018599390983581543,0.01727396249771118,0.9579078527436082,0.2870246351105737,-0.005392818768050473,0.0005932517056381173
