time,seconds_elapsed,z,y,x
1705061542090524000,0.02552392578125,-0.37182197281420226,-0.0075146134138107295,0.04289630791842937
1705061542100464000,0.035464111328125,-0.23634506941922007,-0.062432198515534394,-0.12025953358411788
1705061542110404000,0.045404052734375,-0.11861008587665856,-0.13755962795317173,-0.22801877429634332
1705061542120343800,0.05534375,-0.006533785682916641,-0.17728198201060294,-0.35104806485474105
1705061542130284000,0.065283935546875,0.2049643541842699,-0.16763970891833305,-0.4018357105448842
1705061542140224000,0.07522412109375,0.3453980762690306,-0.14030103561580182,-0.41280601737052197
1705061542150164200,0.085164306640625,0.3898889599025249,-0.08484627489745616,-0.5240756042912602
1705061542160104000,0.09510400390625,0.5383586889266967,-0.047798693007230754,-0.5672846314206719
1705061542170044000,0.1050439453125,0.6996903106767683,0.026010055047273634,-0.5712129107803106
1705061542179984100,0.114984130859375,0.7416933960825205,0.09278174407184124,-0.5478235596254467
1705061542189924000,0.124924072265625,0.6498135692864656,0.16611936748325823,-0.5981950257301331
1705061542199863800,0.13486376953125,0.5940514231193811,0.20159341644644735,-0.6459305903732776
1705061542209804000,0.144803955078125,0.5572147805660963,0.17644962283968924,-0.7327411510810256
1705061542219745000,0.1547451171875,0.5351146655041724,0.147878192871809,-0.8387152619421482
1705061542229685000,0.16468505859375,0.47349020317494867,0.13723521830439567,-0.9278905059546232
1705061542239625000,0.174625,0.35038112537860866,0.20401275254786014,-0.9744225400269031
1705061542249565200,0.184565185546875,0.22216741791963576,0.2298994734764099,-0.9975193379759788
1705061542259505200,0.194505126953125,0.12294899186380207,0.18749884012043475,-0.9368564872205257
1705061542269444900,0.20444482421875,0.07056523608863353,0.15081190823614596,-0.8610816997900604
1705061542279385000,0.214385009765625,0.05691781900823116,0.0784095198482275,-0.7777122194468975
1705061542289325000,0.224324951171875,0.0801619895387441,-0.006317512583732605,-0.6600730974942446
1705061542299265000,0.23426513671875,0.1832454204596579,-0.003774257841706276,-0.4935810973063111
1705061542309205000,0.244205078125,0.26925423633046447,0.060553545162081716,-0.3510018876254558
1705061542319145000,0.25414501953125,0.28718904840648174,0.10038520481288432,-0.2563496735066175
1705061542329085200,0.264085205078125,0.25962942582964893,0.030738837134838104,-0.16062486172020435
1705061542339025000,0.27402490234375,0.27491525776684284,-0.08596271170675754,-0.04795096095949411
1705061542348964900,0.28396484375,0.32938751025386154,-0.14967793577015398,0.07571516619771719
1705061542358905000,0.293905029296875,0.2501362058192491,-0.08664192614257335,0.16131430528908966
1705061542368845000,0.303844970703125,0.0791501821476966,0.008839140015840529,0.20678718569725751
1705061542378786000,0.3137861328125,-0.06152735863029957,0.058787120011448854,0.15896891120672224
1705061542388726000,0.32372607421875,-0.12730123225655407,0.08804127154648303,0.079348554264009
1705061542398666000,0.333666015625,-0.12580836335029452,0.11188099681735038,-0.030033903735876083
1705061542408606000,0.34360595703125,-0.15042086309194563,0.0930529622286558,-0.12920213397443295
1705061542418546000,0.3535458984375,-0.0976765303760767,0.02831599390208721,-0.1490872764006257
1705061542428486100,0.363486083984375,-0.04788512918166816,-0.07154021860063076,-0.07828150955438613
1705061542438426000,0.373426025390625,0.004404372438788414,-0.1472767198473215,0.012307692909240721
1705061542448365800,0.38336572265625,0.038923897156119346,-0.2300426813393831,0.12470569933801888
1705061542458306000,0.39330615234375,0.11690262437164783,-0.2825011828511953,0.25660920122563835
1705061542468246000,0.40324609375,0.13116269345767795,-0.17454992669820785,0.3562342353209853
1705061542478186200,0.413186279296875,0.10769885229449719,-0.00826923117339611,0.3811052033357322
1705061542488126000,0.4231259765625,-0.0005237316131591796,0.14168927510380744,0.2818422805510461
1705061542498066000,0.43306591796875,-0.13485676220264284,0.260776257777214,0.08418751872777938
1705061542508006100,0.443006103515625,-0.2100397212198004,0.28808395141959187,-0.11992109540998935
1705061542517946000,0.452946044921875,-0.26115974066946657,0.19446458747982978,-0.3363404711969197
1705061542527885800,0.4628857421875,-0.3228126984408125,0.03887713540494442,-0.4997380125008523
1705061542537827000,0.4728271484375,-0.3245131091505289,-0.10363397747576236,-0.6426363711334765
1705061542547767000,0.48276708984375,-0.31005905186235905,-0.13666472494006157,-0.7063900275111198
1705061542557707000,0.49270703125,-0.18603928896188734,-0.04581716380119324,-0.667122869875282
1705061542567647000,0.50264697265625,-0.023269268439151346,0.13054887240827082,-0.618285043078661
1705061542577587200,0.512587158203125,0.15151037536170334,0.283870717638731,-0.5662194864071906
1705061542587527000,0.52252685546875,0.2410404606938362,0.3469850531995296,-0.4947529175646603
1705061542597467000,0.532466796875,0.3049439373383298,0.24807167450487613,-0.40407954394891854
1705061542607407000,0.542406982421875,0.3496014097103849,0.1197878244191408,-0.29594387113973497
1705061542617347000,0.55234716796875,0.3276063989907503,0.06537292814254761,-0.16069602726027368
1705061542627286800,0.562286865234375,0.2152858417123556,-0.009610124388337134,-0.00402589451521635
1705061542637227000,0.57222705078125,-0.03169803755581379,-0.11708733328878879,0.1949067782893777
1705061542647167000,0.5821669921875,-0.22497721464335918,-0.18630407737791538,0.33189357479065656
1705061542657107200,0.592107177734375,-0.4101034804135561,-0.07294365565776824,0.21576281157433985
1705061542667047000,0.602046875,-0.3247650380849838,-0.014215572357177733,0.3334808439821005
1705061542676987000,0.61198681640625,-0.0673731620490551,-0.11605039145648478,0.5022678232394159
1705061542686927000,0.621927001953125,0.15921618223236872,-0.2658317876011133,0.6350982307136058
1705061542696867800,0.631867919921875,0.1882066961288452,-0.3145581168472767,0.5752500573419034
